"","program_name","dementia_specific","certification","occupancy","county","adminfirstname","adminlastname","phone","fax1","email","location_1","location_1_address","location_1_city","location_1_state","location_1_zip","zip5","zip9","coords","lat","long"
"320","Heritage at Northern Hills","Yes","S0058",128,"Woodbury","Christy","Nikkel","(712) 239-9402","(712) 239-9406","cnikkel@heritage-communities.com","POINT (-96.387554 42.538479)","4002 Teton Trace","Sioux City","Iowa",511044387,51104,511044387,NA,NA,NA
"321","Lindens","No","S0327",32,"Story","Kat","Kilbane","(515) 296-5000","(515) 296-5008","katk@greenhillsrc.com","POINT (-93.646045 42.001459)","2355 Hamilton Circle","Ames","Iowa",50014,50014,50014,NA,NA,NA
"322","Allen Place","No","S0347",78,"Cass","Wendy","Richter","(712) 243-3820","(712) 273-6707","alclicense@enlivant.com; wrichter@enlivant.com","POINT (-94.992896 41.391526)","1406 East 19th Street","Atlantic","Iowa",50022,50022,50022,NA,NA,NA
"323","Legacy Gardens","Yes","S0163",40,"Johnson","Kaylan","Hamerlinck","(319) 341-0911","(319) 341-4324","kaylan.hamerlinck@legacypointeiowa.com","POINT (-91.482642 41.648613)","15 Silvercrest Place","Iowa City","Iowa",522400000,52240,522400000,NA,NA,NA
"324","John's Harbor Memory Loss Center","Yes","S0117",19,"Polk","Leah","Diehl","(515) 271-6504","(515) 271-6604","ldiehl@wesleylife.org","POINT (-93.664267 41.58448)","3520 Grand Ave.","Des Moines","Iowa",503124359,50312,503124359,NA,NA,NA
"325","Arlington Place of Red Oak","Yes","S0137",64,"Montgomery","Di","Smith","(712) 623-1999","(712) 623-2007","managerrd@arlingtonplaceretirement.com","POINT (-95.222289 41.030691)","800 East Ratliff Road","Red Oak","Iowa",515665102,51566,515665102,NA,NA,NA
"326","Windsor Manor Nevada","Yes","S0319",70,"Story","Alison","Kapustka","(515) 382-2980","","alison.kapustka@windsor-manor.com
","POINT (-93.439107 42.005596)","1642 South G Avenue","Nevada","Iowa",50201,50201,50201,NA,NA,NA
"327","Dutchman's Oaks Assisted LIving","No","S0178",12,"Butler","Mari","Banse","(641) 857-3401","(641) 857-3615","mbanse@abcmcorp.com","POINT (-92.976805 42.751079)","921 3rd St. P.O. Box 347","Dumont","Iowa",506251034,50625,506251034,NA,NA,NA
"328","Murphy Place Assisted Living","No","S0190",20,"Wayne","Gina","Rose","(641) 872-3993","(641) 872-3116","ginamcgrann@gmail.com","POINT (-93.310695 40.754948)","620 East Monroe","Corydon","Iowa",500601620,50060,500601620,NA,NA,NA
"329","Arlin Falck AL","No","S0081",64,"Winneshiek","Laurie","Kreul","(563) 387-3777","(563) 382-8788","barthelloeshome@yahoo.com","POINT (-91.776417 43.293585)","911 Ridgewood Dr","Decorah","Iowa",521012354,52101,521012354,NA,NA,NA
"330","Prairie Hills at Independence","Yes","S0229",104,"Buchanan","Tammy","Rasmussen","(319) 334-2000","(319) 334-3015","edindependence@symphonyseniorliving.com","POINT (-91.898573 42.45066)","505 Enterprise Drive SW","Independence","Iowa",506449603,50644,506449603,NA,NA,NA
"331","Fountains Assisted Living","Yes","S0236",136,"Scott","Clayton","Ward","(563) 332-5775","(563) 332-5296","clayton.ward@fountainsseniorliving.com","POINT (-90.479844 41.579393)","3752 Thunder Ridge Road","Bettendorf","Iowa",527221210,52722,527221210,NA,NA,NA
"332","Westside AL Suites","No","S0334",24,"Butler","Betsy","Schmitt","(319) 278-4900","(319) 278-4166","westsideassistedliving@gmail.com","POINT (-92.674873 42.784815)","110 Ely Street","Clarksville","Iowa",50619,50619,50619,NA,NA,NA
"333","Windsor Manor Grinnell","Yes","S0224",70,"Poweshiek","Debby","Cooper","(641) 236-8700","(641) 236-9514","debby.cooper@windsor-manor.com","POINT (-92.730273 41.734386)","229 PEARL STREET","GRINNELL","Iowa",501122593,50112,501122593,NA,NA,NA
"334","Elms","No","S0341",24,"Grundy","Misti","Ellis","(319) 345-6811","(319) 345-2624","mellis@parkviewreinbeck.com","POINT (-92.607953 42.323978)","1007 3rd Street","Reinbeck","Iowa",50669,50669,50669,NA,NA,NA
"335","Sigourney AL","No","S0144",18,"Keokuk","Harold","McElderry","(641) 622-2971","(641) 622-3165","Sigourney.admin@imgcares.com","POINT (-92.20755 41.327283)","810 South Stone Street","Sigourney","Iowa",525911244,52591,525911244,NA,NA,NA
